index,real_sentence,fake_sentence
3100,"We have begun efforts to strengthen and redesign our performance appraisal system to better assess employee strengths and weaknesses, identify training needs, reward and recognize exceptional performance, and improve performance at all levels.","We have begun efforts to strengthen and redesign our performance appraisal system to bad assess employee strengths and weaknesses, identify training needs, reward and recognize exceptional performance, and improve performance at all levels."
3101,"There's that, said Tuppence suddenly, pointing to a small, old-fashioned safe let into the wall.","There's that, said Tuppence suddenly, pointing to a big, old-fashioned dangerous let into the wall."
3102,"In 1544 the English invaded, set fire to the palace, and sacked the abbey.","In 1544 the English invaded, set fire to the palace, and sacked the abbey."
3103,"When reports about McCain's bad temper first emerged out of Arizona this fall, they indicated that he had muscled, rebuked, punished, and cowed fellow Republicans in order to squelch dissent.","When reports about McCain's good temper first emerged out of Arizona this fall, they indicated that he had muscled, rebuked, punished, and cowed fellow Republicans in order to squelch dissent."
3104,The nation has recently considered leaning toward the mainstream right to expand its influence.,The nation has recently considered leaning toward the mainstream right to expand its influence.
3105,yeah and some of them that turned to flops we saw other other other night we saw um Lady in Red,yeah and some of them that turned to flops we saw same same same night we saw um Lady in Red
3106,"King Prithvi Narayan Shah had difficulty conquering Kirtipur, whose site atop a ridge with two high points made it virtually impregnable.","King Prithvi Narayan Shah had difficulty conquering Kirtipur, whose site atop a ridge with two low points made it virtually impregnable."
3107,"That is, affirmative action is more likely to succeed when it takes into account personal qualities like drive and motivation, which may not be captured on the SAT.","That is, negative action is more improbable to succeed when it takes into account impersonal qualities like drive and motivation, which may not be captured on the SAT."
3108,Technology has always influenced the way pollsters do their job.,Technology has always influenced the way pollsters do their job.
3109,"The Capitoline Museums, in the twin palaces of the Campidoglio , have extensive collections of sculpture excavated from ancient Rome, particularly in the Palazzo Nuovo.","The Capitoline Museums, in the twin palaces of the Campidoglio, have intensive collections of sculpture excavated from ancient Rome, particularly in the Palazzo Nuovo."
3110,and i'm sitting around thinking well if i go out and run now because i messed around until almost seven uh six thirty or so if i go out and run now i'm going to get back and i'm going to be mowing the lawn and it's going to get dark and i'm going to have to guess where where the line is to mow,and i'm sitting around thinking well if i go out and run now because i messed around until almost seven uh six thirty or so if i go out and run now i'm going to get back and i'm going to be mowing the lawn and it's going to get day and i'm going to have to guess where where the line is to mow
3111,right now we're going through we just it just rained all day today or it's been raining most of the morning drizzling off and on but yeah,right now we're going through we just it just rained all day today or it's been raining fewest of the morning drizzling off and on but yeah
3112,"Are you going up now, miss? ","Are you going up now, miss?"
3113,Carnac is surrounded by fields with thousands of gigantic stones (menhirs) arranged in mysterious alignments and patterns set up over centuries beginning as early as 5500 b.c.,Carnac is surrounded by fields with thousands of gigantic stones( menhirs) arranged in mysterious alignments and patterns set up over centuries beginning as early as 5500 b.c.
